,dem,povrate,pci,Dean,Kerry,white,absentee,population,pObama
Alton,979,0.0653,25940,0.2782,0.3203,0.98312,0.059857,4693,0.378958120531154
Barnstead,913,0.038,19773,0.24398,0.36747,0.97349,0.050449,4266,0.377875136911281
Belmont,1305,0.0428,19986,0.20096,0.41627,0.96739,0.043649,7006,0.28735632183908
CenterHarbor,268,0.0669,25627,0.28495,0.33333,0.97892,0.107356,1033,0.343283582089552
Gilford,1633,0.0332,32667,0.24937,0.37781,0.97986,0.074706,7033,0.409063074096754
Gilmanton,761,0.0586,23163,0.30503,0.39341,0.98301,0.053191,3222,0.373193166885677
LaconiaWard1,530,0.0886,19540,0.20903,0.3658,0.96137,0.075856,2792.5,0.367924528301887
LaconiaWard2,532,0.0886,19540,0.24384,0.40274,0.96137,0.078772,2792.5,0.406015037593985
LaconiaWard3,517,0.0886,19540,0.23037,0.35864,0.96137,0.054732,2792.5,0.392649903288201
LaconiaWard4,518,0.0886,19540,0.20792,0.41337,0.96137,0.05618,2792.5,0.361003861003861
LaconiaWard5,494,0.0886,19540,0.20058,0.47093,0.96137,0.049563,2792.5,0.321862348178138
LaconiaWard6,575,0.0886,19540,0.24344,0.35561,0.96137,0.050584,2792.5,0.363478260869565
Meredith,1433,0.0657,24867,0.22903,0.39114,0.97644,0.074593,6121,0.41102581995813
NewHampton,516,0.0467,20336,0.31267,0.3504,0.96718,0.084236,2019,0.348837209302326
Sanbornton,787,0.051,22879,0.27907,0.40072,0.9783,0.063973,2726,0.353240152477764
Tilton,770,0.0517,19578,0.24768,0.35604,0.96031,0.05935,3504,0.366233766233766
Albany,194,0.157,20690,0.29927,0.36496,0.97706,0.048689,656,0.422680412371134
Bartlett,788,0.0814,21631,0.30343,0.39152,0.98004,0.089095,2822,0.376903553299492
Brookfield,158,0.0149,25745,0.42742,0.27419,0.99007,0.057325,641,0.329113924050633
Conway,2202,0.1034,19673,0.30047,0.37677,0.97164,0.084818,8843,0.401907356948229
Eaton,140,0.0721,21122,0.25743,0.38614,0.98667,0.09417,399,0.564285714285714
